domain	country	A	NS	CNAME	MX	TXT
ibroxsuiteshotel.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
heaven-scent.co.uk	DE	217.160.0.219	ns1051.ui-dns.org,ns1108.ui-dns.de,ns1122.ui-dns.com,ns1089.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
heaven-scent-cornwal.co.uk	US	205.147.88.143	ns2.systemdns.com,ns1.systemdns.com,ns3.systemdns.com		{'exchange': 'mx.heaven-scent-cornwal.co.uk.cust.a.hostedemail.com', 'priority': 0}	
heaven-scent-cornwall.co.uk	US	208.43.88.227	ns1.systemdns.com,ns2.systemdns.com,ns3.systemdns.com		{'exchange': 'mx.heaven-scent-cornwall.co.uk.cust.a.hostedemail.com', 'priority': 0}	
heaven-scent-gardens.co.uk			ns1.force9.net,ns2.force9.net		{'exchange': 'mx.avasin.plus.net', 'priority': 10}	
heaven2earth.co.uk	GB	94.136.40.51	ns.hosteurope.com,ns2.hosteurope.com		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heaven2earthhealing.co.uk	GB	176.32.230.23	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.heaven2earthhealing.co.uk', 'priority': 10}	
heavenandhellcupcakes.co.uk	US	198.185.159.144,198.185.159.145,198.49.23.144,198.49.23.145	ns20.domaincontrol.com,ns19.domaincontrol.com		{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt3.aspmx.l.google.com', 'priority': 10},{'exchange': 'alt4.aspmx.l.google.com', 'priority': 10},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5}	
heavenandstone.co.uk	US	50.63.202.35	ns64.domaincontrol.com,ns63.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
heavenaroma.co.uk	DE	217.160.223.226	ns1095.ui-dns.org,ns1095.ui-dns.biz,ns1095.ui-dns.de,ns1095.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
